Language/Framework,Logging,Debugging,Performance Monitoring
.NET,,https://blog.sentry.io/windows-10-update-might-have-broken-your-dotnet-app/,
ASP.NET Core,,,https://github.com/ritza-co/sentry/blob/main/blog/how-to-optimize-aspnet-core-performance-with-monitoring-tools/index.md
Android,,https://github.com/ritza-co/sentry/blob/main/refresh-articles/how-to-handle-android-exceptions-and-avoid-application-crashes.mdx/,
Apache Beam,,https://blog.sentry.io/sentry-for-data-easier-faster-apache-beam-debugging/,
Browser Profiling,,,https://blog.sentry.io/browser-profiling-learnings-from-sentry-io/
Distributed Systems,,"https://github.com/ritza-co/sentry/blob/main/blog/distributed-tracing-101-part-2/distributed-tracing-101-part-2.md
https://github.com/ritza-co/sentry/blob/main/refresh-articles/distributed-tracing-101/distributed-tracing-101.md
https://blog.sentry.io/everyone-needs-to-know-how-to-trace/
https://blog.sentry.io/observability-and-tracing-how-to-improve-your-debugging-workflow/
https://blog.sentry.io/my-errors-are-gone-with-a-trace/",
Django,https://github.com/ritza-co/sentry/blob/main/guides/monitoring-django-with-sentry/monitoring-django-with-sentry.md,https://github.com/ritza-co/sentry/blob/main/guides/monitoring-django-with-sentry/monitoring-django-with-sentry.md,https://github.com/ritza-co/sentry/blob/main/guides/monitoring-django-with-sentry/monitoring-django-with-sentry.md
E-commerce,,https://github.com/ritza-co/sentry/blob/main/guides/session-replay-in-ecommerce-env/session-replay-in-ecommerce-env.md,"https://github.com/ritza-co/sentry/blob/main/blog/holiday-readiness-ecommerce/holiday-readiness-ecommerce.md
https://blog.sentry.io/less-than-100ms-e-commerce-instant-loads-with-speculation-rules-api/"
General,,"https://blog.sentry.io/see-errors-through-users-eyes/
https://blog.sentry.io/debugging-weird-stack-traces-with-session-replay/
https://blog.sentry.io/getting-started-with-session-replay/
https://blog.sentry.io/introducing-insights-tailored-debugging-workflows-for-your-applications/
https://blog.sentry.io/new-debugging-superpowers-with-discover/
https://blog.sentry.io/sentry-for-development/
https://blog.sentry.io/building-an-observable-enterprise-app/
https://blog.sentry.io/debugging-query-rate-limiting-in-sentry/","https://blog.sentry.io/how-to-profile-with-sentry/
https://blog.sentry.io/performance-issues-slow-you-can-act-on-quickly/
https://blog.sentry.io/investigating-performance-regressions-with-trends/
https://blog.sentry.io/performance-monitoring-for-every-developer-web-vitals-and-function/"
GraphQL,,,https://blog.sentry.io/guest-post-performance-monitoring-in-graphql/
Image Optimization,,,https://blog.sentry.io/low-effort-image-optimization-tips/
JavaScript,https://blog.sentry.io/frontend-javascript-performance-testing/,https://blog.sentry.io/why-debugging-javascript-sucks-and-what-you-can-do-about-it/,"https://blog.sentry.io/frontend-javascript-performance-testing/
https://blog.sentry.io/performance-impact-of-generated-javascript/"
JavaScript (Client),,https://github.com/ritza-co/sentry/blob/main/refresh-articles/client-javascript-reporting-window-onerror.mdx/,
LLMs,"https://github.com/ritza-co/sentry/blob/main/blog/llm-observability-and-monitoring-basics/llm-observability-and-monitoring-basics.md
https://github.com/ritza-co/sentry/blob/main/blog/monitoring-llms/article.mdx","https://github.com/ritza-co/sentry/blob/main/blog/llm-observability-and-monitoring-basics/llm-observability-and-monitoring-basics.md
https://github.com/ritza-co/sentry/blob/main/blog/monitoring-llms/article.mdx","https://github.com/ritza-co/sentry/blob/main/blog/llm-observability-and-monitoring-basics/llm-observability-and-monitoring-basics.md
https://github.com/ritza-co/sentry/blob/main/blog/monitoring-llms/article.mdx"
Laravel,https://github.com/ritza-co/sentry/blob/main/guides/monitoring-and-debugging-with-laravel/index.md,"https://github.com/ritza-co/sentry/blob/main/guides/monitoring-and-debugging-with-laravel/index.md
https://blog.sentry.io/sentry-laravel/",https://github.com/ritza-co/sentry/blob/main/guides/monitoring-and-debugging-with-laravel/index.md
Lazy Loading,,,https://blog.sentry.io/go-getting-lazy-loading/
MCP Servers,https://blog.sentry.io/introducing-mcp-server-monitoring/,https://blog.sentry.io/introducing-mcp-server-monitoring/,https://blog.sentry.io/introducing-mcp-server-monitoring/
MCP/Cursor,,https://github.com/ritza-co/sentry/blob/main/guides/sentry-mcp-cursor-guide/sentry-mcp-cursor-guide.md/,
Microservices,https://github.com/ritza-co/sentry/blob/main/blog/monitoring-microservices/article.mdx,https://github.com/ritza-co/sentry/blob/main/blog/monitoring-microservices/article.mdx,https://github.com/ritza-co/sentry/blob/main/blog/monitoring-microservices/article.mdx
Mobile (General),,https://github.com/ritza-co/sentry/blob/main/blog/sentry-for-mobile-teams/sentry-for-mobile-teams.md/,
Next.js,,"https://github.com/ritza-co/sentry/blob/main/guides/debugging-nextjs-dotnet-task-canceled-exception/debugging-nextjs-dotnet-task-canceled-exception.mdx
https://github.com/ritza-co/sentry/blob/main/guides/debugging-nextjs-timeouts-distributed-tracing/debugging-nextjs-timeouts-distributed-tracing.mdx
https://github.com/ritza-co/sentry/blob/main/guides/investigating-vague-nextjs-error/nextjs-vague-error.mdx",
Node.js,https://blog.sentry.io/how-to-debug-log-and-monitor-performance-in-node-js/,https://blog.sentry.io/how-to-debug-log-and-monitor-performance-in-node-js/,https://blog.sentry.io/how-to-debug-log-and-monitor-performance-in-node-js/
OpenTelemetry,https://github.com/ritza-co/sentry/blob/main/blog/opentelemetry-logging/opentelemetry-logging.md,https://github.com/ritza-co/sentry/blob/main/blog/opentelemetry-tracing/opentelemetry-tracing.md/,
Python,https://github.com/ritza-co/sentry/blob/main/refresh-articles/logging-in-python-a-developers-guide/logging-in-python-a-developers-guide.md,https://blog.sentry.io/sentry-for-data-error-monitoring-with-pyspark/,
RUM (Real User Monitoring),,,https://github.com/ritza-co/sentry/blob/main/blog/real-user-monitoring/real-user-monitoring.md
React,,,https://blog.sentry.io/how-to-identify-fetch-waterfalls-in-react/
React Native,https://github.com/ritza-co/sentry/blob/main/blog/react-native-logging/draft-sentry-logging-react-native.md,https://blog.sentry.io/react-native-debugging-and-error-tracking-during-app-development/,https://blog.sentry.io/tips-for-optimizing-react-native-application-performance-part-2-using-sentry/
Rust,,https://blog.sentry.io/debugging-a-segfault-in-rust/,
Source Maps,,https://blog.sentry.io/4-reasons-why-your-source-maps-are-broken/,
Spring Boot,,https://github.com/ritza-co/sentry/blob/main/refresh-articles/troubleshooting-spring-boot-applications-with-sentry.mdx/,
